2022-07-23 23:31:27,260 | data.py->summarizeTimes():67 | WARNING | Calculated Time Emotions: {'23:18:26 - 23:18:27': 0.2, '23:18:28 - 23:18:28': 0.2, '23:18:29 - 23:18:29': 0.2, '23:18:30 - 23:18:30': 0.2, '23:18:31 - 23:18:31': 0.2}
2022-07-23 23:31:27,261 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:27] "POST /summarize HTTP/1.1" 200 -
2022-07-23 23:31:27,566 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:27] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:27,567 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:27,567 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:27,567 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:27,567 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:27] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:28,228 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:28] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:28,231 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:28,232 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:28,233 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:28,233 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:28] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:28,577 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:28] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:28,578 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:28,578 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:28,578 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:28,578 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:28] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:29,082 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:29] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:29,082 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:29,083 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:29,083 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:29,083 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:29] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:29,587 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:29] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:29,588 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:29,588 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:29,589 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:29,589 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:29] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:30,091 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:30] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:30,092 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:30,092 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:30,092 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:30,092 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:30] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:30,595 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:30] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:30,595 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:30,597 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:30,597 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:30,602 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:30] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:31,098 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:31] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:31,098 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:31,099 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:31,099 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:31,099 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:31] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:31,604 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:31] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:31,605 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:31,605 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:31,605 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:31,606 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:31] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:32,108 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:32] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:32,108 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:32,108 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:32,109 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:32,109 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:32] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:32,615 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:32] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:32,616 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:32,616 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:32,617 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:32,617 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:32] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:33,114 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:33] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:33,115 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:33,115 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:33,115 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:33,115 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:33] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:33,807 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:33] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:33,808 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:33,808 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:33,809 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:33,809 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:33] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:34,126 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:34] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:34,126 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:34,126 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:34,126 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:34,127 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:34] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:34,630 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:34] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:34,630 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:34,630 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:34,631 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:34,631 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:34] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:35,139 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:35] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:35,140 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:35,141 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:35,141 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:35,141 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:35] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:35,642 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:35] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:35,642 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:35,642 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:35,643 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:35,643 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:35] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:36,142 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:36] "POST /takeimage HTTP/1.1" 200 -
